293,relaxation,the act of resting ,,
294,reliability,the state of being trustworthy,,
295,relocate,to move to a new location,,
296,relocation,the act of moving something to a new location,,
297,reminder,something that makes you remember something,,
298,removal,to take away and put in another place,,
299,repeatedly,many times,,
300,repetition,to do something over and over again,,
301,replacement,to put something/someone in place of something/someone else,,
302,reschedule,to set a new time for something,,
303,reservation,"to put something on hold for use later, e.g. car, hotel room",,
304,salad,food made of mainly leaves or lettuce and vegetables,,
305,sandwich,"two pieces of bread with a filling inside, e.g. meat or jam",,
306,scenery,the view of natural surroundings,,
307,seasonal,happening at a certain time of the year only,,
308,seeker,someone looking for something ,,
309,separately,"to do things one at a time, not together",,
310,sew,to use a needle and thread,,
311,similarity,the state of being almost the same,,
312,smoothly,to do something easily with no trouble,,
313,sock,something you wear on your foot to keep you warm,,
314,soup,"a liquid meal, usually hot",,
315,specification,a special detail or necessity for something,,
316,spray,to send tiny drops of liquid into the air,,
317,steadily,in a slow and even manner,,
318,steak,a big piece of meat or fish,,
319,suspicious,the feeling that something is not right,,
320,tech,short form of the word 'technology',,
321,tempt,to try to get someone to do something they should not,,
322,tomato,"a round red fruit, usually thought of as a vegetable",,
323,toner,the ink in the computer or printer,,
324,towel,a big cloth used for drying after a shower or swim,,
325,traditionally,to do things the way they used to be done,,
326,tray,"a flat plate used to carry things, usually coffee or tea",,
327,unattended,when someone or something is not being watched,,
328,unavailable,not ready for use,,
329,unfamiliar,not well known,,
330,unlimited,without end,,
331,unpleasant,"not nice, not comfortable",,
332,unplug,to pull out an electrical cord from its socket,,
333,unreliable,not trustworthy,,
334,wisely,to do something that is the right thing to do,,
335,wool,the fur of sheep,,
336,absorb,to take in or soak up,,
337,accommodate,to give something that is needed,,
338,accomplishment,something you achieve,,
339,accumulate,"to slowly get more and more of something, e.g. wealth",,
340,accuracy,the state of being exact and correct,,
341,accurately,when something is done correctly,,
342,administrative,to do with the management of an office,,
343,administrator,the person who manages an office,,
344,admission,entrance into something,,
345,affirmative,"positive, meaning 'yes'",,
346,alert,"wide awake, aware",,
347,allocate,to assign (usually people or money) to something,,
348,alternatively,another option,,
349,annually,every 12 months,,
350,apology,saying you are sorry for something,,
351,approximate,to give a general number as a guess,,
352,architect,someone who designs buildings,,
353,architectural,to do with the design of buildings,,
354,aspect,a part or a feature ,,
355,assemble,to gather people together,,
356,assembly,when people are gathered together,,
357,assignment,a project or task,,
358,athletic,to do with sports,,
359,audit,"to check something is correct, usually related to accounts in business",,
360,auditor,a person who checks to make sure things are correct,,
361,authorization,the permission given to do something,,
362,authorize,to give permission for something,,
363,bacteria,small microbes that often make you sick,,
364,bargain,"a good deal, a good price",,
365,bench,"a long, usually wooden, seat found mainly in parks",,
366,cabinet,a piece of furniture with shelves to store things,,
367,cancellation,when something is not going to happen after all,,
368,candidate,a person being considered for a job or position in office,,
369,chairperson,the person in charge of a meeting,,
370,chilly,when the weather is cold and causing you to shiver,,
371,circuit,a set path you move along,,
372,circulate,to move around in a circle,,
373,circulation,"to distribute in a wide area, e.g. newspaper ",,
374,clarify,to explain or make clear,,
375,client,someone who pays for a service,,
376,clinic,"a place you go when sick, like a mini-hospital",,
377,collaboration,the act of working together,,
378,compensate,to give money for a service,,
379,conductor,a person who leads,,
380,conference,an event where people exchange ideas,,
381,confirmation,something that verifies something is true,,
382,consent,to give permission,,
383,considerably,to a large degree,,
384,consistently,doing something the same way every time,,
385,consultation,a meeting between two people,,
386,consumption,the act of eating,,
387,contestant,someone who is part of a contest,,
388,continental,to do with the mainland,,
389,contradict,to say the opposite of,,
390,contradiction,the opposite of something,,
391,convey,to give a message to someone,,
392,cooperate,to work together nicely,,
393,coordinate,to organize or manage,,
394,coordinator,someone whose job is to organize things ,,
395,correspondence,communication by letter,,
396,counselor,someone who helps people with problems for a living,,
397,criteria,details used to make a decision,,
398,cruise,"a long, relaxing holiday on a ship",,
399,dedication,the act of being faithful to someone or something,,
400,delegate,to give others tasks to do,,
401,descriptive,something that tells you more about it,,
402,designate,to name or select someone for something,,
403,devastate,to destroy completely,,
404,disable,to make something not work,,
405,disagreement,the act of having a difference of opinion,,
406,disposal,the act of getting rid of something,,
407,dispose,to get rid of something,,
408,disrupt,to interrupt and cause chaos,,
409,disruption,the act of interrupting and causing chaos,,
410,distribution,the act of circulating things in a wide area,,
411,distributor,someone who sells or sends things to different areas,,
412,documentation,the act of showing proof in writing,,
413,donate,to give money to a cause or charity,,
414,donation,the money that is given to a cause or charity,,
415,dose,the amount of medicine taken at one time,,
416,drill,to bore a hole into something,,
417,eager,to be excited to help or do something,,
418,effectiveness,the state of working properly or as expected,,
419,efficiently,to do something well in a little amount of time,,
420,electronically,to do something using electronics,,
421,elevate,to raise or make higher,,
422,elevator,a machine that takes people to different floors in a building,,
423,enthusiasm,the act of being excited about something,,
424,enthusiast,"a person who is crazy about something, e.g. a sports enthusiast",,
425,enthusiastic,to show excitement for something,,
426,enthusiastically,to do something with excitement and energy,,
427,evident,to be clear or obvious,,
428,exceptional,beyond excellent,,
429,excessive,way too much of something,,
430,exclusive,only available to a certain group,,
431,exclusively,offered only to a certain group,,
432,explorer,a person who travels to unknown places ,,
433,fabric,"material, cloth",,
434,facilitate,to help or make easier,,
435,faculty,an instructor or professor at university,,
436,flavor,"the taste of something, e.g. sweet, sour",,
437,flexibility,the ability to adapt or change easily,,
438,formally,officially,,
439,foster,to promote or bring about,,
440,founder,someone who starts a business or organization,,
441,generous,to give willingly and freely,,
442,goods,resources or things bought or sold,,
443,graduation,the ceremony upon finishing a degree or program,,
444,graphic,to do with a picture or image,,
445,graphics,images or pictures ,,
446,hazard,something that is dangerous,,
447,hazardous,to be dangerous,,
448,highway,a major road connecting cities,,
449,ideally,in a perfect world,,
450,illogical,"not making any sense, lack of reasoning",,
451,impact,the effect one thing makes on another,,
452,inappropriate,not suitable for use in a given situation,,
453,inefficient,not working well or quickly,,
454,inflate,to make bigger,,
455,ingredient,"something listed in a recipe, e.g. flour, sugar",,
456,inquire,to ask about ,,
457,insert,to put into or add into,,
458,inspiration,the thing or person that encourages you to do something,,
459,installation,the act of connecting or inputting something ,,
460,institute,like a school or college,,
461,insufficient,not enough,,
462,interactive,to engage with others,,
463,interfere,to take part in something that is not your business,,
464,internationally,around the world,,
465,interpreter,someone who translates from one language to another,,
466,invention,the idea or creation of something new,,
467,irrelevant,"not related to the topic, not important",,
468,jet,an airplane,,
469,leak,to drip water or other liquid,,
470,lease,to rent,,
471,lecturer,an instructor or professor,,
472,lobby,the main area of a hotel just inside the entrance,,
473,logical,to do with reason,,
474,loyal,to stay true or faithful,,
475,loyalty,the act of being faithful to someone or something,,
476,mechanic,a person who fixes machinery for a living,,
477,mechanical,to do with machines,,
478,media,"related to different forms of communication, e.g. radio, TV, newspapers etc.",,
479,merge,to bring two things together to make one,,
480,merger,when one company buys another company to create one big company,,
481,mild,"soft, gentle, not strong in nature",,
482,modification,a change made on something,,
483,nominate,to suggest someone for to do or be something,,
484,nomination,the state of being suggested for something,,
485,obligate,to have to do,,
486,oblige,to make someone have to do something,,
487,obtain,to get,,
488,occupancy,the state of living in a place,,
489,occupant,"a person who lives in a place, e.g. renter, tenant",,
490,occupation,profession or job,,
491,orientation,something that makes you familiar with a place,,
492,overlook,"to ignore, to not notice ",,
493,pad,many sheets of paper glued together for writing,,
494,pepper,a strong spice (black or white),,
495,permanently,for ever,,
496,precede,to happen before something else,,
497,prediction,a guess about the future,,
498,profitable,able to make money,,
499,prohibit,not allowed,,
500,prominent,"important, significant",,
501,promotional,to do with encouraging sales,,
502,promptly,"done right away, immediately",,
503,prospective,"possible in the future, e.g. prospective client",,
504,publish,to print and distribute,,
505,puzzle,something you do not understand,,
506,reception,the act of greeting people,,
507,receptionist,"someone who works at the front desk, e.g. secretary",,
508,recession,a less successful time in the economy,,
509,recruiter,a person who hires people for businesses,,
510,recruitment,the act of hiring people for businesses,,
511,reinforce,to make stronger,,
512,relieve,to take something away from someone,,
513,reluctant,not very willing to do something,,
514,reproduce,to make one or more copies of something,,
515,resemble,"to look like, similar to",,
516,residence,the house or place you live,,
517,residential,an area where people live,,
518,resignation,to quit one's job,,
519,respondent,someone who replies to something,,
520,resume,to continue or start again,,
521,retailer,a store that sells something,,
522,retreat,to move back or withdraw from a place,,
523,reviewer,someone who checks written work,,
524,revision,to change or rewrite something,,
525,revolutionize,"to make a new, big change in society",,
526,rumor,something said by people but not necessarily true,,
527,satellite,another branch of an office elsewhere,,
528,sculpture,a figure or statue,,
529,shortly,very soon,,
530,silently,in a quiet manner,,
531,spill,"to accidentally empty a container, e.g. spill a glass of milk",,
532,statistics,math related to data collection ,,
533,strategic,in a way carefully thought about,,
534,strictly,"in a strong manner, in a manner that follows the rules",,
535,subsidize,to give financial help,,
536,substantially,"a great deal, amount",,
537,suburb,living area outside the city,,
538,superior,"the leader, someone higher than you in rank",,
539,supervise,to watch over and manage,,
540,supervisor,the person who is in charge,,
541,tactic,like a plan or scheme,,
542,temporarily,"not for ever, for a short while",,
543,thorough,"to be carefully and completely done, e.g. a thorough search",,
544,thoroughly,to do something carefully with attention to detail,,
545,thrill,excitement,,
546,ton,a measurement equalling 2000 pounds,,
547,transaction,an exchange between two people,,
548,translation,something that is changed into another language,,
549,translator,the person who changes something into another language,,
550,transmission,the message sent from one to another,,
551,transmit,to send a message to someone,,
552,tremendous,extraordinary or excellent,,
553,tunnel,a hole one can travel through,,
554,unspecified,not clearly marked or known,,
555,urgent,"very important, needing attention now",,
556,urgently,to do something right away,,
557,utility,usefulness,,
558,valid,"just, fair, right",,
559,violate,to break the rule or law,,
560,violation,the act of breaking a rule or law,,
561,withdrawal,"the act of taking something away or out of something, e.g. bank withdrawal",,
562,aboard,"on or in a moving vehicle, e.g. aboard the boat",,
563,absent,"missing, not present",,
564,accountant,a person responsible for the money in a business,,
565,accustom,to get used to,,
566,activate,to start or begin something,,
567,adhere,"to stay with or follow , e.g. adhere to rules",,
568,adjacent,"next to, beside",,
569,administer,to manage an office,,
570,alike,"similar, almost the same",,
571,alternate,another option,,
572,amateur,"a beginner, not a professional, done for pleasure not for pay",,
573,ambassador,"somebody who represents somehting, usually a country",,
574,ambitious,"hard-working, wanting to achieve much",,
575,anniversary,a date to remember,,
576,antique,"very old item, usually furniture or jewellery",,
577,applicable,relating to,,
578,applicant,"a person who submits papers in order to do something, e.g. job applicant",,
579,appraisal,an evaluation ,,
580,archive,a place where documents are kept for a long time,,
581,attain,to get or achieve,,
582,attorney,lawyer,,
583,auction,where things are sold to highest payer,,
584,authentic,"real, not fake",,
585,auto,car,,
586,automobile,long name for 'car',,
587,await,"to wait for, or expect, something to happen",,
588,balloon,a colorful round object made of rubber that is filled with air,,
589,bankrupt,to have no more money,,
590,bankruptcy,the act of having no more money to pay bills,,
591,baseball,a sports game with a bat and ball,,
592,basement,the level under the ground floor,,
593,behalf,"to speak or do something for someone else, e.g. on behalf of…",,
594,beneficial,"good for you, positive effect",,
595,bicycle,a vehicle with two wheels and pedals ,,
596,biography,someone's life story,,
597,biology,the study of nature,,
598,bonus,"extra, usually in the form of money",,
599,broker,someone who buys and sells thing for a percentage of sales,,
600,bulb,"the shape of a teardrop, e.g. light bulb",,
601,bulk,in big amount,,
602,cab,taxi,,
603,cabin,a small house in the forest,,
604,calendar,something you hang on the wall that has the months of the year on it,,
605,campus,place where university buildings are,,
606,cargo,the things carried in the hold of an airplane or on a truck,,
607,cater,to make and deliver food ,,
608,caterer,the person who makes food and delivers it for a living,,
609,caution,a warning to be careful,,
610,cautious,to be careful,,
611,celebrity,someone famous,,
612,certificate,a piece of paper stating you did something,,
613,certification,written proof that you did something or that something is good enough,,
614,certify,to state something is real or correct,,
615,chef,a person who cooks for a living,,
616,chemistry,the study of chemicals,,
617,chronic,for a long time,,
618,cinema,a movie theatre,,
619,classify,to put into a category,,
620,clerk,someone who works at a counter,,
621,click,to press a button,,
622,closure,when something is closed for good,,
623,commute,to travel a long way to work and back,,
624,commuter,someone who travels a long way to work and back,,
625,compact,tightly packed in a small size,,
626,compatible,to go well with,,
627,compile,to collect or gather data,,
628,compliance,the act of obeying rules,,
629,comply,to obey a rule,,
630,comprehension,the act of understanding,,
631,confidential,something that needs to be kept secret,,
632,conform,to be like others,,
633,congratulate,to tell someone 'good job' on a happy occasion,,
634,congratulation,the act of congratulating,,
635,contrary,opposite to,,
636,convenience,the state of being easy,,
637,convenient,to be easy to do,,
638,conveniently,in a manner that is easy,,
639,copyright,when you cannot copy work,,
640,cord,electric cable,,
641,cordless,no electric cable needed,,
642,costume,"something unusual you dress up in, e.g. for Hallowe'en",,
643,courtesy,a kindness to someone,,
644,deadline,when something must be finished,,
645,deduct,to minus or take away,,
646,deduction,"the act of taking away, usually money",,
647,defect,something that is faulty,,
648,defective,when something is not working,,
649,delicate,need to handle with care,,
650,depart,to leave,,
651,departure,the act of leaving,,
652,dependence,the state of needing someone,,
653,destination,the place you want to be at the end of a journey,,
654,detach,to remove from something,,
655,deteriorate,to become worse in state,,
656,diagnose,to figure out what is wrong,,
657,diagram,a drawing explaining something,,
658,dial,to make a phone call by pressing the buttons,,
659,diamond,a very valuable gem,,
660,discard,to throw away,,
661,dispatch,to send out ,,
662,distract,to take your focus away from something ,,
663,distraction,the act of taking your focus away from something,,
664,dividend,money received as a bonus ,,
665,dock,the place where boats get tied up,,
666,documentary,a film about a real life or event,,
667,dull,boring; not exciting,,
668,duration,how long something takes,,
669,dynamic,energetic,,
670,elegant,fine or beautiful,,
671,eligible,able to be chosen,,
672,embassy,the office of an ambassador,,
673,enclose,to surround fully,,
674,enroll,to register for something,,
675,enrollment,the act of registering for something,,
676,entrepreneur,a business person who starts companies,,
677,escort,to go with someone,,
678,ethics,morals or belief system,,
679,evacuate,to make people leave an area,,
680,evenly,in equal ways,,
681,exemption,an exception to the rule,,
682,exit,to leave,,
683,exotic,from another country,,
684,expertise,excellent knowledge on something,,
685,fare,"the cost for a ride, e.g. bus, or taxi",,
686,fax,to send using a fax machine,,
687,ferry,a big boat that carries people and cars,,
688,fiscal,to do with money,,
689,flaw,something that is faulty in otherwise perfect person/thing,,
690,fleet,a group of ships travelling together,,
691,flour,white powder from wheat used in baking,,
692,fog,a cloud of white filled with small water droplets,,
693,forbid,to not allow,,
694,fork,eating utensil,,
695,forum,a place for open discussion,,
696,franchise,"one of many branches of a business you buy, e.g.KFC",,
697,furnish,to put furniture in,,
698,gallon,a type of measurement equal to 3.78 liters,,
699,generic,general,,
700,genre,"type of art, literature, or film, e.g. romance",,
701,glove,something you wear on your hand to keep warm,,
702,gossip,to talk about someone behind his/her back,,
703,graph,an image that shows data,,
704,grill,"like a barbeque, something you cook on",,
705,hardware,tools or equipment,,
706,helmet,something you wear to protect your head,,
707,hurricane,a strong often deadly storm that begins over the water,,
708,immigration,the act of moving from one country to another for good,,
709,impatient,"in a hurry, not calm",,
710,inconvenience,something that causes trouble or discomfort,,
711,indirect,not in a straight way,,
712,infer,to guess something with given information,,
713,inference,the act of guessing something with given information,,
714,informal,"relaxed, casual - often used to describe clothes or an event",,
715,ink,liquid found in pens,,
716,innovative,to be creative and come up with new ideas,,
717,integral,"very important, necessary as part of the whole thing",,
718,irritate,to bother,,
719,jazz,a kind of music,,
720,jewelry,"gold, silver, stones etc. you wear for decoration, e.g. necklace",,
721,keyboard,the part of computer that you type on ,,
722,kit,a box of tools or equipment,,
723,ladder,something you use to climb up high,,
724,landlord,the person who owns the place you rent,,
725,laundry,dirty clothes that need washing,,
726,leisure,something for fun or relaxing,,
727,likewise,in the same way,,
728,lounge,a place to relax,,
729,maximize,to make use of as much as possible,,
730,meantime,the time between two events,,
731,merchant,a person who sells things for a living,,
732,merit,to deserve praise,,
733,mineral,a type of substance found in nature,,
734,minimize,to make less important or smaller,,
735,monument,something built to honor someone,,
736,necessity,something which you need,,
737,nutrition,the study of food and health,,
738,omit,to leave out or not say ,,
739,ongoing,still happening ,,
740,opt,to make a choice ,,
741,optimistic,being positive about the future,,
742,orchestra,many musicians with different instruments playing one musical piece,,
743,outfit,a set of clothes like a uniform,,
744,outlet,a store that sells things at a discount,,
745,outlook,a view point,,
746,overhead,"the fixed cost of a business, e.g. rent",,
747,overnight,from one day to the next,,
748,oversee,to supervise,,
749,packet,a small carton or package,,
750,parade,walk or march,,
751,patent,the right to be the only one who is allowed to make a thing,,
752,patience,to accept suffering without getting angry,,
753,patron,"someone who gives support with time, money or effort",,
754,petition,"a demand for a particular action, usually signed by a lot of people ",,
755,physician,A doctor of medicine,,
756,physics,the science of how things  like heat and light work,,
757,pill,medicine in the form of a capsule that you swallow ,,
758,pillow,soft cushion to rest your head on when you go to bed,,
759,portfolio,a collection of investments that someone owns,,
760,poster,a large printed picture or notice to stick on a wall,,
761,postpone,put off until a later time,,
762,preliminary,The first action that comes before a more important one,,
763,premium,an extra payment added to the cost,,
764,prescribe,to formally tell someone what to do,,
765,prescription,doctor's written order for medicine,,
766,prestigious,very important and well thought of,,
767,publicity,the  advertising message to let people know about a product or event,,
768,questionnaire,a set of questions to find out what people think about something,,
769,rack,a stand or shelf to put things on,,
